MAIN DATAFLOW_CODE,CL_ECONOMY_CODES,CL_ADO_INDICATORS,PERIOD,OBS_VALUE,CL_COMMON_UNITS,CL_UNIT_MULT,CL_DECIMALS,CL_FREQ
MFP,AFG,FX_PA,2002,44.77,NCU_PER_USD,0,2,A
GLB,AFG,EXT_DEBT,2002,539,USD,6,2,A
GLB,AFG,GIR_EOP,2002,161.1,USD,6,2,A
GLB,AFG,BOP_CAB_PER_NGDP,2002,33.9,PCT_GDP,0,2,A
GLB,AFG,EXT_DEBT_SVC_PER_X,2002,7.60003,PCT,0,2,A
EO,AFG,NGDP_AGR_SHR,2002,43.16655,PCT_GDP,0,2,A
EO,AFG,NGDP_IND_SHR,2002,21.41562,PCT_GDP,0,2,A
EO,AFG,NGDP_SVC_SHR,2002,34.14889,PCT_GDP,0,2,A
EO,AFG,NGDP_SVC_SHR,2003,35.82687,PCT_GDP,0,2,A
GLB,AFG,GIR_EOP,2003,687,USD,6,2,A
EO,AFG,NGDP_AGR_SHR,2003,41.05383,PCT_GDP,0,2,A
EO,AFG,NGDPR_AGR_GR,2003,3.40124,apc,0,2,A
EO,AFG,NGDPR_SVC_GR,2003,10.37639,apc,0,2,A
GLB,AFG,EXT_DEBT_SVC_PER_X,2003,3.80017,PCT,0,2,A
GG,AFG,GF_REV_PER_NGDP,2003,10.3091,PCT_GDP,0,2,A
EO,AFG,NDGPR_PCAP_GR,2003,6.18928,apc,0,2,A
EO,AFG,NGDPR_GR,2003,8.22811,apc,0,2,A
GG,AFG,GF_BAL_PER_NGDP,2003,-3.02408,PCT_GDP,0,2,A
EO,AFG,NGDP_IND_SHR,2003,20.88846,PCT_GDP,0,2,A
MFP,AFG,BM_PC,2003,50.61908,apc,0,2,A
GLB,AFG,BOP_CAB_PER_NGDP,2003,29.6,PCT_GDP,0,2,A
GLB,AFG,EXT_DEBT,2003,640,USD,6,2,A
MFP,AFG,FX_PA,2003,49,NCU_PER_USD,0,2,A
GG,AFG,GF_EXP_PER_NGDP,2003,14.0661,PCT_GDP,0,2,A
EO,AFG,NGDPR_IND_GR,2003,10.27343,apc,0,2,A
EO,AFG,NGDPR_SVC_GR,2004,11.4186,apc,0,2,A
MFP,AFG,BM_PC,2004,59.06172,apc,0,2,A
GG,AFG,GF_BAL_PER_NGDP,2004,-1.39194,PCT_GDP,0,2,A
GG,AFG,GF_REV_PER_NGDP,2004,13.48023,PCT_GDP,0,2,A
EO,AFG,NGDP_AGR_SHR,2004,33.27781,PCT_GDP,0,2,A
EO,AFG,NGDP_SVC_SHR,2004,39.46567,PCT_GDP,0,2,A
EO,AFG,NGDPR_AGR_GR,2004,-14.46274,apc,0,2,A
GLB,AFG,BOP_CAB_PER_NGDP,2004,37.2,PCT_GDP,0,2,A
GLB,AFG,EXT_DEBT,2004,763,USD,6,2,A
MFP,AFG,FX_PA,2004,47.8,NCU_PER_USD,0,2,A
GLB,AFG,EXT_DEBT_SVC_PER_X,2004,3.9,PCT,0,2,A
EO,AFG,NGDPR_IND_GR,2004,17.47608,apc,0,2,A
GG,AFG,GF_EXP_PER_NGDP,2004,15.65737,PCT_GDP,0,2,A
EO,AFG,NGDPR_GR,2004,2.34349,apc,0,2,A
GLB,AFG,GIR_EOP,2004,237.2,USD,6,2,A
EO,AFG,NGDP_IND_SHR,2004,24.50802,PCT_GDP,0,2,A
EO,AFG,NDGPR_PCAP_GR,2004,-6.73447,apc,0,2,A
EO,AFG,NGDP_IND_SHR,2005,25.21013,PCT_GDP,0,2,A
EO,AFG,NGDPR_SVC_GR,2005,5.40904,apc,0,2,A
GLB,AFG,EXT_DEBT,2005,11939,USD,6,2,A
GLB,AFG,EXT_DEBT_SVC_PER_X,2005,5.6998,PCT,0,2,A
GG,AFG,GF_BAL_PER_NGDP,2005,1.02911,PCT_GDP,0,2,A
GG,AFG,GF_EXP_PER_NGDP,2005,17.15828,PCT_GDP,0,2,A
EO,AFG,NDGPR_PCAP_GR,2005,5.9598,apc,0,2,A
EO,AFG,NGDP_AGR_SHR,2005,34.23215,PCT_GDP,0,2,A
EO,AFG,NGDPR_IND_GR,2005,12.99172,apc,0,2,A
MFP,AFG,BM_PC,2005,30.93974,apc,0,2,A
