DATAFLOW,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIT_MULT,UNIT_MEASURE
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2010,4.34584379196167,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2011,4.310691356658936,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2012,4.310691356658936,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2013,0.4418432712554932,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2014,0.4423297941684723,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2015,0.446442037820816,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2016,0.4426732957363129,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2017,0.4426733255386353,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2018,14.19962882995605,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,AZE,2019,13.78688621520996,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2010,56.91229248046875,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2011,57.03515625,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2012,57.03515243530273,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2013,63.94039535522461,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2014,64.1642837524414,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2015,63.65070343017578,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2016,63.59052276611328,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2017,63.59052658081055,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2018,54.5982551574707,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2019,53.91083526611328,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,ARM,REMITTANCE_INFLOW_SHARE,RUS,2021,61.47731399536133,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,BHU,2013,0.0057141566649079,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,BHU,2014,0.0057081184349954,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,BHU,2015,0.0057145324535668,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,BHU,2016,0.0057110898196697,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,BHU,2017,0.0057110898196697,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,BHU,2018,0.0048785987310112,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,BHU,2019,0.0047882031649351,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,BHU,2021,0.0044443355873227,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,OUTBOUND_MIGRATION_SHARE,COO,1990,0.0458333492279053,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,OUTBOUND_MIGRATION_SHARE,COO,1995,0.0427373275160789,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,OUTBOUND_MIGRATION_SHARE,COO,2000,0.0398036763072014,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,OUTBOUND_MIGRATION_SHARE,COO,2005,0.0681833028793335,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,OUTBOUND_MIGRATION_SHARE,COO,2010,0.0927720591425896,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,OUTBOUND_MIGRATION_SHARE,COO,2015,0.0961984246969223,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,OUTBOUND_MIGRATION_SHARE,COO,2020,0.101266548037529,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,OUTBOUND_MIGRATION_SHARE,COO,2024,0.1065662428736687,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,INO,2013,1.933833837509155,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,INO,2015,1.933961033821106,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AUS,REMITTANCE_INFLOW_SHARE,MON,2015,0.0418385416269302,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,AZE,OUTBOUND_MIGRATION_SHARE,ARM,2015,6.783286094665527,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,BAN,OUTBOUND_MIGRATION_SHARE,MAL,2015,3.582465171813965,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,CAM,OUTBOUND_MIGRATION_SHARE,NZL,2015,1.054952144622803,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,CAN,REMITTANCE_INFLOW_SHARE,IND,2015,0.1232167556881905,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,CAN,OUTBOUND_MIGRATION_SHARE,JPN,2015,1.213419079780579,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,CAN,REMITTANCE_INFLOW_SHARE,RUS,2015,0.0398447476327419,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,CAN,OUTBOUND_MIGRATION_SHARE,USA,2015,73.01631164550781,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,FIJ,OUTBOUND_MIGRATION_SHARE,KIR,2015,0.3145052194595337,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,FIJ,REMITTANCE_INFLOW_SHARE,USA,2015,23.07983207702637,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,FSM,REMITTANCE_INFLOW_SHARE,PER,2015,0.0022863117046654,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,FSM,REMITTANCE_INFLOW_SHARE,VAN,2015,0.0166978240013123,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,GEO,OUTBOUND_MIGRATION_SHARE,AUS,2015,0.0978218987584114,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,HKG,OUTBOUND_MIGRATION_SHARE,NZL,2015,0.8688888549804688,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,HKG,REMITTANCE_INFLOW_SHARE,TUR,2015,0.0110492892563343,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,HKG,REMITTANCE_INFLOW_SHARE,VAN,2015,0.0007620199467055,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,IND,OUTBOUND_MIGRATION_SHARE,NZL,2015,0.5983532667160034,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,IND,REMITTANCE_INFLOW_SHARE,PER,2015,0.0013951214496046,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,IND,OUTBOUND_MIGRATION_SHARE,PHI,2015,0.0959530547261238,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,IND,REMITTANCE_INFLOW_SHARE,TUR,2015,0.0049068345688283,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,IND,REMITTANCE_INFLOW_SHARE,VAN,2015,3.62387218047E-05,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,INO,REMITTANCE_INFLOW_SHARE,JPN,2015,0.6877606511116028,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,INO,REMITTANCE_INFLOW_SHARE,SIN,2015,4.241862297058105,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,INO,OUTBOUND_MIGRATION_SHARE,SRI,2015,0.0097879655659199,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,INO,OUTBOUND_MIGRATION_SHARE,TUR,2015,0.0912421867251396,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,JPN,REMITTANCE_INFLOW_SHARE,CAN,2015,3.379460096359253,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,JPN,REMITTANCE_INFLOW_SHARE,MLD,2015,0.0120141198858619,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,JPN,REMITTANCE_INFLOW_SHARE,PRC,2015,6.410017013549805,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,JPN,REMITTANCE_INFLOW_SHARE,SAM,2015,0.0057163955643773,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,JPN,OUTBOUND_MIGRATION_SHARE,TAP,2015,1.293582081794739,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KAZ,REMITTANCE_INFLOW_SHARE,KGZ,2015,0.3670468926429749,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KGZ,OUTBOUND_MIGRATION_SHARE,GEO,2015,0.0377230830490589,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KGZ,OUTBOUND_MIGRATION_SHARE,PRC,2015,0.1156633421778679,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KIR,REMITTANCE_INFLOW_SHARE,RUS,2015,0.053878590464592,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KOR,OUTBOUND_MIGRATION_SHARE,BRU,2015,0.0070759430527687,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KOR,OUTBOUND_MIGRATION_SHARE,CHL,2015,0.05424889549613,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KOR,REMITTANCE_INFLOW_SHARE,HKG,2015,0.1872439980506897,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KOR,OUTBOUND_MIGRATION_SHARE,MEX,2015,0.2644922733306885,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KOR,REMITTANCE_INFLOW_SHARE,PLW,2015,0.0028244864661247,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KOR,REMITTANCE_INFLOW_SHARE,THA,2015,0.5414466261863708,3,0,PCT
ADB:ARIC_DAF_PPL(1.0),A,KOR,REMITTANCE_INFLOW_SHARE,UZB,2015,0.0639597550034523,3,0,PCT
