CONCEPT_SCHEME_ID,CONCEPT_SCHEME_AGENCY,CONCEPT_SCHEME_VERSION,CONCEPT_SCHEME_NAME,CONCEPT_SCHEME_DESCRIPTION,CONCEPT_SCHEME_URN,CONCEPT_ID,CONCEPT_NAME,CONCEPT_DESCRIPTION,CONCEPT_URN,CODELIST_URN,CODELIST_AGENCY,CODELIST_ID,CODELIST_VERSION,CODELIST_TABLE_NAME
CS_COMMON_CONCEPTS,ADB,1.0,Common Concepts,Common concepts found in ADB Datasets,urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=ADB:CS_COMMON_CONCEPTS(1.0),ECONOMY_CODE,ADB Economy Code,Economy or subnational area,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).ECONOMY_CODE,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=ADB:CL_ECONOMY_CODES(1.0),ADB,CL_ECONOMY_CODES,1.0,CL_ECONOMY_CODES
CS_COMMON_CONCEPTS,ADB,1.0,Common Concepts,Common concepts found in ADB Datasets,urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=ADB:CS_COMMON_CONCEPTS(1.0),UNIT,Units,Unit of measurement,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).UNIT,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=ADB:CL_COMMON_UNITS(1.0),ADB,CL_COMMON_UNITS,1.0,CL_COMMON_UNITS
CS_COMMON_CONCEPTS,ADB,1.0,Common Concepts,Common concepts found in ADB Datasets,urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=ADB:CS_COMMON_CONCEPTS(1.0),BASE_YEAR,Base Year,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).BASE_YEAR,,,,,
CS_COMMON_CONCEPTS,ADB,1.0,Common Concepts,Common concepts found in ADB Datasets,urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=ADB:CS_COMMON_CONCEPTS(1.0),REF_YEAR,Reference Year,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).REF_YEAR,,,,,
CS_COMMON_CONCEPTS,ADB,1.0,Common Concepts,Common concepts found in ADB Datasets,urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=ADB:CS_COMMON_CONCEPTS(1.0),DATA_SOURCE,Data Source,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).DATA_SOURCE,,,,,
CS_COMMON_CONCEPTS,ADB,1.0,Common Concepts,Common concepts found in ADB Datasets,urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=ADB:CS_COMMON_CONCEPTS(1.0),FOOTNOTE,Footnote,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).FOOTNOTE,,,,,
CS_COMMON_CONCEPTS,ADB,1.0,Common Concepts,Common concepts found in ADB Datasets,urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=ADB:CS_COMMON_CONCEPTS(1.0),METHODOLOGY,Methodology,,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_COMMON_CONCEPTS(1.0).METHODOLOGY,,,,,
CS_KIDB_CONCEPTS,ADB,1.0,KIDB Concepts,Concepts used in KIDB Datasets,urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=ADB:CS_KIDB_CONCEPTS(1.0),INDICATOR,Indicator,Economic or social indicator used in KIDB,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=ADB:CS_KIDB_CONCEPTS(1.0).INDICATOR,urn:sdmx:org.sdmx.infomodel.codelist.Codelist=ADB:CL_KIDB_INDICATORS(1.0),ADB,CL_KIDB_INDICATORS,1.0,CL_KIDB_INDICATORS
CROSS_DOMAIN_CONCEPTS,SDMX,2.0,SDMX Cross Domain Concept Scheme,"The Cross Domain Concept Scheme (starting from v2.0) is created from the set of concepts in the SDMX Glossary, which is an SDMX guideline containing concepts and related definitions that are useful for building and understanding data and metadata exchange arrangements based on SDMX. The Glossary provides definition of terms found in the SDMX Information Model, Data Structure Definitions (DSDs) and Metadata Structure Definitions (MSDs) at the time of the present release. It is recommended as a single entry point to a common SDMX terminology to be used in order to facilitate communication and understanding of the standard.In short, the overall message of the glossary is the following: if a term is used, then its precise meaning should correspond to the SDMX Glossary definition, and any reference to a particular phenomenon described in the SDMX Glossary should use the appropriate term.Version 1.0 of the SDMX Glossary, which replaces the Metadata Common Vocabulary (MCV) published in 2009, was finalised in February 2016. The Cross Domain Concept Scheme v1.0 was created from the MCV concepts.For any question, comment or correction, feel free to contact the SDMX Statistical Working Group (SWG) at the following address: swg@sdmx.org.",urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=SDMX:CROSS_DOMAIN_CONCEPTS(2.0),ACC_CONV,Accounting conventions,"Practical procedures, standards and other aspects used when compiling data from diverse sources under a common methodological framework.",urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=SDMX:CROSS_DOMAIN_CONCEPTS(2.0).ACC_CONV,,,,,
CROSS_DOMAIN_CONCEPTS,SDMX,2.0,SDMX Cross Domain Concept Scheme,"The Cross Domain Concept Scheme (starting from v2.0) is created from the set of concepts in the SDMX Glossary, which is an SDMX guideline containing concepts and related definitions that are useful for building and understanding data and metadata exchange arrangements based on SDMX. The Glossary provides definition of terms found in the SDMX Information Model, Data Structure Definitions (DSDs) and Metadata Structure Definitions (MSDs) at the time of the present release. It is recommended as a single entry point to a common SDMX terminology to be used in order to facilitate communication and understanding of the standard.In short, the overall message of the glossary is the following: if a term is used, then its precise meaning should correspond to the SDMX Glossary definition, and any reference to a particular phenomenon described in the SDMX Glossary should use the appropriate term.Version 1.0 of the SDMX Glossary, which replaces the Metadata Common Vocabulary (MCV) published in 2009, was finalised in February 2016. The Cross Domain Concept Scheme v1.0 was created from the MCV concepts.For any question, comment or correction, feel free to contact the SDMX Statistical Working Group (SWG) at the following address: swg@sdmx.org.",urn:sdmx:org.sdmx.infomodel.conceptscheme.ConceptScheme=SDMX:CROSS_DOMAIN_CONCEPTS(2.0),ACCURACY,Accuracy,Closeness of computations or estimates to the unknown exact or true values that the statistics were intended to measure.,urn:sdmx:org.sdmx.infomodel.conceptscheme.Concept=SDMX:CROSS_DOMAIN_CONCEPTS(2.0).ACCURACY,,,,,
