Code id,Name,Description
F,Free (free for publication),"Used for observations without any special sensitivity considerations and which can thus be freely shared. Usually, source organisations provide information and guidance on general requirements for re-dissemination  (like mentioning the source) either on their websites or in their paper publications. In some institutional environments the term ""unclassified"" is used in a sense that still denotes implied restrictions in the circulation of information. If this is the case, the organisations concerned may probably consider that ""free"" (value F) is not the appropriate tag for this kind of ""unclassified"" category and that ""Not for publication, restricted for internal use only"" (value N) may be more appropriate."
N,"Not for publication, restricted for internal use only",Used to denote observations that are restricted for internal use only within organisations.
C,Confidential statistical information,"Confidential statistical information (primary confidentiality) due to identifiable respondents. Measures also should be taken to prevent not only direct access, but also indirect deduction or calculation by other users and parties, probably by considering and treating additional observations as ""confidential"" (secondary confidentiality management)."
D,"Secondary confidentiality set by the sender, not for publication","Used by the sender of the data to flag (beyond the confidential statistical information) additional observations in the dataset so that the receiver knows that he/she should suppress these observations in subsequent stages of processing (especially dissemination) in order to prevent third parties to indirectly deduct the observations that are genuinely flagged with ""C""."
S,"Secondary confidentiality set and managed by the receiver, not for publication","If senders do not manage the secondary confidentiality in their data and/or there are also other countries' data involved (with the intention to eventually compile a regional-wide aggregate that is going to be published), the value ""S"" is used by the receiver to flag additional suppressed observations (within sender's data and/or within the datasets of other senders) in subsequent stages of processing (especially, dissemination) in order to prevent third parties to indirectly deduct the observations that were genuinely flagged with ""C"" by the sender."
A,Primary confidentiality due to small counts,"A cell is flagged as confidential if less than m units (""too few units"") contribute to the total of that cell. The limits of what constitutes ""small counts"" can vary across statistical domains, countries, etc."
O,Primary confidentiality due to dominance by one unit,"Used when one unit accounts for more than x % of the total of a cell. The value of x can vary across statistical domains or countries, be influenced by legislation, etc."
T,Primary confidentiality due to dominance by two units,"Used when two units account for more than x % of the total of a cell. The value of x can vary across statistical domains or countries, be influenced by legislation, etc."
G,Primary confidentiality due to dominance by one or two units,"Used when one or two units account(s) for more than x % of the total of a cell. The value of x can vary across statistical domains or countries, be influenced by legislation, etc."
M,Primary confidentiality due to data declared confidential based on other measures of concentration,"Cells declared confidential using mathematical definitions of sensitive cells, e.g. p-percent, p/q or (n,k) rules."
