Code id,Description,Name,Parent,Order id
AP,,Asia and the Pacific,,1
AFG,,Afghanistan,AP,2
ARM,,Armenia,AP,3
AUS,,Australia,AP,4
AZE,,Azerbaijan,AP,5
BAN,,Bangladesh,AP,6
BHU,,Bhutan,AP,7
BRU,,Brunei Darussalam,AP,8
CAM,,Cambodia,AP,9
COO,,Cook Islands,AP,10
FSM,,Federated States of Micronesia,AP,11
FIJ,,Fiji,AP,12
GEO,,Georgia,AP,13
HKG,,"Hong Kong, China",AP,14
IND,,India,AP,15
INO,,Indonesia,AP,16
JPN,,Japan,AP,17
KAZ,,Kazakhstan,AP,18
KIR,,Kiribati,AP,19
KGZ,,Kyrgyz Republic,AP,20
LAO,,Lao People's Democratic Republic,AP,21
MAL,,Malaysia,AP,22
MLD,,Maldives,AP,23
RMI,,Marshall Islands,AP,24
MON,,Mongolia,AP,25
MYA,,Myanmar,AP,26
NAU,,Nauru,AP,27
NEP,,Nepal,AP,28
NZL,,New Zealand,AP,29
NIU,,Niue,AP,30
PAK,,Pakistan,AP,31
PLW,,Palau,AP,32
PNG,,Papua New Guinea,AP,33
PRC,,People's Republic of China,AP,34
PHI,,Philippines,AP,35
KOR,,Republic of Korea  ,AP,36
SAM,,Samoa,AP,37
SIN,,Singapore,AP,38
SOL,,Solomon Islands,AP,39
SRI,,Sri Lanka,AP,40
TAP,,"Taipei,China",AP,41
TAJ,,Tajikistan,AP,42
THA,,Thailand,AP,43
TIM,,Timor-Leste,AP,44
TON,,Tonga,AP,45
TUR,,Türkiye,AP,46
TKM,,Turkmenistan,AP,47
TUV,,Tuvalu,AP,48
UZB,,Uzbekistan,AP,49
VAN,,Vanuatu,AP,50
VIE,,Viet Nam,AP,51
ME,,Middle East,,52
BHR,,Bahrain,ME,53
IRN,,"Iran, Islamic Republic of",ME,54
IRQ,,Iraq,ME,55
ISR,,Israel,ME,56
JOR,,Jordan,ME,57
KWT,,Kuwait,ME,58
LBN,,Lebanon,ME,59
OMN,,Oman,ME,60
QAT,,Qatar,ME,61
SAU,,Saudi Arabia,ME,62
SYR,,Syrian Arab Republic,ME,63
ARE,,United Arab Emirates,ME,64
YEM,,Yemen,ME,65
