Code id,Name,Description,Parent
LLF_PE_NUM,"Labor Force and Employment, Labor Force",The labor force is the sum of those employed and unemployed but seeking work. ,
LUD_PE_NUM_PS,"Labor Force, Underemployed","Persons in time-related underemployment comprise all persons in employment who satisfy the following three criteria during the reference period: a) are willing to work additional hours; b) are available to work additional hours i.e., are ready, within a specified subsequent period, to work additional hours given opportunities for additional work; and c) worked less than a threshold relating to working time (i.e., persons whose hours actually worked in all jobs during the reference period were below a threshold, to be chosen according to national circumstances). 

The time-related underemployment rate is calculated as follows:
TRU (%) = Persons in time-related underemployment / Persons employed x 100",
LUW_PE_NUM_PS,"Labor Force, Unpaid work","Work that produces goods or services but is unremunerated. It includes domestic labour, subsistence production and the unpaid production of items for market.",
LU_PE_NUM,"Labor Force, Unemployed","Unemployed persons are defined as all those of working age (usually persons aged 15 and above) who were not in employment, carried out activities to seek employment during a specified recent period, and were currently available to take up employment given a job opportunity, where: 

(i) “not in employment” is assessed with respect to the short reference period for the measurement of employment; 

(ii) to “seek employment” refers to any activity when carried out, during a specified recent period comprising the past 4 weeks or 1 month, for the purpose of finding a job or setting up a business or agricultural undertaking; 

(iii) the point when the enterprise starts to exist should be used to distinguish between search activities aimed at setting up a business and the work activity itself, as evidenced by the enterprise’s registration to operate or by when financial resources become available, the necessary infrastructure or materials are in place, or the first client or order is received, depending on the context; and 

(iv) “currently available” serves as a test of readiness to start a job in the present, assessed with respect to a short reference period comprising that used to measure employment (depending on national circumstances, the reference period may be extended to include a short subsequent period not exceeding 2 weeks in total, so as to ensure adequate coverage of unemployment situations among different population groups).",
LUR_PT,Unemployment rate,"Unemployed persons are defined as all those of working age (usually persons aged 15 and above) who were not in employment, carried out activities to seek employment during a specified recent period, and were currently available to take up employment given a job opportunity, where: 

(i) “not in employment” is assessed with respect to the short reference period for the measurement of employment; 

(ii) to “seek employment” refers to any activity when carried out, during a specified recent period comprising the past 4 weeks or 1 month, for the purpose of finding a job or setting up a business or agricultural undertaking; 

(iii) the point when the enterprise starts to exist should be used to distinguish between search activities aimed at setting up a business and the work activity itself, as evidenced by the enterprise’s registration to operate or by when financial resources become available, the necessary infrastructure or materials are in place, or the first client or order is received, depending on the context; and 

(iv) “currently available” serves as a test of readiness to start a job in the present, assessed with respect to a short reference period comprising that used to measure employment (depending on national circumstances, the reference period may be extended to include a short subsequent period not exceeding 2 weeks in total, so as to ensure adequate coverage of unemployment situations among different population groups).",
LLF_PTX_PS,"Labor Force, Labor force (% annual change)",The labor force is the sum of those employed and unemployed but seeking work.,
LPR_RATE,Labor force participation rate,"Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ",
LPR_RATE_M_PS,Labor force participation rate (male),Percentage of the labor force (male)  to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy.,
LPR_RATE_F_PS,Labor force participation rate (female),Percentage of the labor force (female)  to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy.,
LE_PE_NUM_RES_PS,"Labor Force, Employed Residents",,
LE_PE_NUM,"Employed, Total","All persons of working age engaged in any activity to produce goods or provide services for pay or profit during a short reference period, whether 'at work' or 'not at work' due to temporary absence or working-time arrangements.",
LE_PE_NUM_A_PS,"Employed, Agriculture, forestry, and fishing","Employment in agriculture, including forestry and fishing, that corresponds to division 1 (International Standard of Industrial Classification [ISIC] revision 2), tabulation categories A and B (ISIC revision 3), and category A of ISIC revision 4.",
LE_PE_NUM_B_PS,"Employed, Mining and quarrying","Employment in mining and quarrying that corresponds to division 2 (ISIC revision 2), tabulation category C (ISIC revision 3), and category B of ISIC revision 4.",
LE_PE_NUM_C_PS,"Employed, Manufacturing","Employment in manufacturing that corresponds to division 3 (ISIC revision 2), tabulation category D (ISIC revision 3), and category C of ISIC revision 4.",
LE_PE_NUM_D_PS,"Employed, Electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste management, and remediation activities","Employment in electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste management, and remediation activities that corresponds to division 4 (ISIC revision 2), tabulation category E (ISIC revision 3), and categories D and E of ISIC revision 4.",
LE_PE_NUM_E_PS,"Employed, Water supply; sewerage, waste management, and remediation activities","Employment in water supply; sewerage, waste management, and remediation activities that corresponds to division 4 (ISIC revision 2), tabulation category E (ISIC revision 3), and categories D and E of ISIC revision 4.",
LE_PE_NUM_F_PS,"Employed, Construction","Employment in construction that corresponds to division 5 (ISIC revision 2), tabulation category F (ISIC revisions 3), and category F of ISIC revision 4.",
LE_PE_NUM_G_PS,"Employed, Wholesale and retail trade; repair of motor vehicles and motorcycles","Employment in wholesale and retail trade; repair of motor vehicles and motorcycles that corresponds to division 6 (subdivisions 61 and 62, ISIC revision 2); tabulation category G (ISIC revision 3); and category G of ISIC revision 4.",
LE_PE_NUM_H_PS,"Employed, Accommodation and food service activities","Employment in accommodation and food service activities that corresponds to division 6 (subdivision 63, ISIC revision 2); tabulation category H (ISIC revision 3); and category I of ISIC revision 4.",
LE_PE_NUM_I_PS,"Employed, Transportation and storage","Employment in transport and storage that corresponds to division 7 (subdivision 71, ISIC revision 2); tabulation category I (subcategories 60–63, ISIC revision 3); and category H of ISIC revision 4.",
