Code id,Name,Description
A,Normal value,"To be used as default value if no value is provided or when no special coded qualification is assumed. Usually, it can be assumed that the source agency assigns sufficient confidence to the provided observation and/or the value is not expected to be dramatically revised."
B,Time series break,Observations are characterised as such when different content exists or a different methodology has been applied to this observation as compared with the preceding one (the one given for the previous period).
D,Definition differs,Used to indicate slight deviations from the established methodology (footnote-type information); these divergences do not imply a break in time series.
E,Estimated value,"Observation obtained through an estimation methodology (e.g. to produce back-casts) or based on the use of a limited amount of data or ad hoc sampling and through additional calculations (e.g. to produce a value at an early stage of the production stage while not all data are available). It may also be used in case of experimental data (e.g. in the context of a pilot ahead of a full scale production process) or in case of data of (anticipated/assessed) low quality. If needed, additional information can be provided through free text using the COMMENT_OBS attribute at the observation level or at a higher level."
F,Forecast value,"Value deemed to assess the magnitude which a quantity will assume at some future point of time (as distinct from ""estimated value"" which attempts to assess the magnitude of an already existent quantity)."
G,Experimental value,Data collected on the basis of definitions or (alternative) collection methods under development. Data not of guaranteed quality as normally expected from provider.
H,Missing value; holiday or weekend,Used in some daily data flows.
I,Imputed value (CCSA definition),"Observation imputed by international organisations to replace or fill gaps in national data series, in line with the recommendations of the United Nations Committee for the Coordination of Statistical Activities (CCSA)."
J,Derogation,"Clause in an agreement (e.g. legal act, gentlemen's agreement) stating that some provisions in the agreement are not to be implemented by designated parties; these derogations may affect the observation or cause a missing value. In general, derogations are limited in time."
K,Data included in another category,"This code is used when data for a given category are missing and are included in another category, sub-total or total. Generally where code ""K"" is used there should be a corresponding code ""W - Includes data from another category"" assigned to the over-covered category. Implementers and data reporters should use the COMMENT_OBS observation-level attribute to specify under which category the data are included."
L,Missing value; data exist but were not collected,"Used, for example, when some data are not reported/disseminated because they are below a certain threshold."
M,Missing value; data cannot exist,Used to denote empty cells resulting from the impossibility to collect a statistical value (e.g. a particular education level or type of institution may be not applicable to a given country's education system).
N,Not significant,"Used to indicate a value which is not a ""real"" zero (e.g. a result of 0.0004 rounded to zero)."
O,Missing value,"This code is to be used when no breakdown is made between the reasons why data are missing. Data can be missing due to many reasons: data cannot exist, data exist but are not collected (e.g. because they are below a certain threshold or subject to a derogation clause), data are unreliable, etc."
P,Provisional value,"An observation is characterised as ""provisional"" when the source agency - while it bases its calculations on its standard production methodology - considers that the data, almost certainly, are expected to be revised."
Q,Missing value; suppressed,"Used, for example, when data are suppressed due to statistical confidentiality considerations."
S,Strike and other special events,Special circumstances (e.g. strike) affecting the observation or causing a missing value.
U,Low reliability,"This indicates existing observations, but for which the user should also be aware of the low quality assigned."
V,Unvalidated value,Observation as received from the respondent without further evaluation of data quality.
W,Includes data from another category,"This code is used when data include another category, or go beyond the scope of the data collection and are therefore over-covered. Generally, where code ""W"" is used there should be a corresponding code ""K - Data included in another category"" assigned to the category which is under-covered. Implementers and data reporters should use the COMMENT_OBS observation-level attribute to specify which additional data are included."
