Code id,Name,Parent
OC1,Managers,
OC11,"Chief executives, senior officials and legislators",OC1
OC111,Legislators and senior officials,OC11
OC1111,Legislators,OC111
OC1112,Senior government officials,OC111
OC1113,Traditional chiefs and heads of village,OC111
OC1114,Senior officials of special-interest organizations,OC111
OC112,Managing directors and chief executives,OC11
OC1120,Managing directors and chief executives,OC112
OC12,Administrative and commercial managers,OC1
OC121,Business services and administration managers,OC12
OC1211,Finance managers,OC121
OC1212,Human resource managers,OC121
OC1213,Policy and planning managers,OC121
OC1219,Business services and administration managers not elsewhere classified,OC121
OC122,"Sales, marketing and development managers",OC12
OC1221,Sales and marketing managers,OC122
OC1222,Advertising and public relations managers,OC122
OC1223,Research and development managers,OC122
OC13,Production and specialised services managers,OC1
OC131,"Production managers in agriculture, forestry and fisheries",OC13
OC1311,Agricultural and forestry production managers,OC131
OC1312,Aquaculture and fisheries production managers,OC131
OC132,"Manufacturing, mining, construction, and distribution managers",OC13
OC1321,Manufacturing managers,OC132
OC1322,Mining managers,OC132
OC1323,Construction managers,OC132
OC1324,"Supply, distribution and related managers",OC132
OC133,Information and communications technology service managers,OC13
OC1330,Information and communications technology service managers,OC133
OC134,Professional services managers,OC13
OC1341,Child care services managers,OC134
OC1342,Health services managers,OC134
OC1343,Aged care services managers,OC134
OC1344,Social welfare managers,OC134
OC1345,Education managers,OC134
OC1346,Financial and insurance services branch managers,OC134
OC1349,Professional services managers not elsewhere classified,OC134
OC14,"Hospitality, retail and other services managers",OC1
OC141,Hotel and restaurant managers,OC14
OC1411,Hotel managers,OC141
OC1412,Restaurant managers,OC141
OC142,Retail and wholesale trade managers,OC14
OC1420,Retail and wholesale trade managers,OC142
OC143,Other services managers,OC14
OC1431,"Sports, recreation and cultural centre managers",OC143
OC1439,Services managers not elsewhere classified,OC143
OC2,Professionals,
OC21,Science and engineering professionals,OC2
OC211,Physical and earth science professionals,OC21
OC2111,Physicists and astronomers,OC211
OC2112,Meteorologists,OC211
OC2113,Chemists,OC211
OC2114,Geologists and geophysicists,OC211
OC212,"Mathematicians, actuaries and statisticians",OC21
OC2120,"Mathematicians, actuaries and statisticians",OC212
OC213,Life science professionals,OC21
OC2131,"Biologists, botanists, zoologists and related professionals",OC213
OC2132,"Farming, forestry and fisheries advisers",OC213
OC2133,Environmental protection professionals,OC213
OC214,Engineering professionals (excluding electrotechnology),OC21
OC2141,Industrial and production engineers,OC214
OC2142,Civil engineers,OC214
OC2143,Environmental engineers,OC214
OC2144,Mechanical engineers,OC214
OC2145,Chemical engineers,OC214
OC2146,"Mining engineers, metallurgists and related professionals",OC214
OC2149,Engineering professionals not elsewhere classified,OC214
OC215,Electrotechnology engineers,OC21
OC2151,Electrical engineers,OC215
OC2152,Electronics engineers,OC215
OC2153,Telecommunications engineers,OC215
OC216,"Architects, planners, surveyors and designers",OC21
OC2161,Building architects,OC216
OC2162,Landscape architects,OC216
OC2163,Product and garment designers,OC216
OC2164,Town and traffic planners,OC216
OC2165,Cartographers and surveyors,OC216
OC2166,Graphic and multimedia designers,OC216
OC22,Health professionals,OC2
OC221,Medical doctors,OC22
OC2211,Generalist medical practitioners,OC221
OC2212,Specialist medical practitioners,OC221
OC222,Nursing and midwifery professionals,OC22
OC2221,Nursing professionals,OC222
OC2222,Midwifery professionals,OC222
OC223,Traditional and complementary medicine professionals,OC22
OC2230,Traditional and complementary medicine professionals,OC223
OC224,Paramedical practitioners,OC22
OC2240,Paramedical practitioners,OC224
OC225,Veterinarians,OC22
OC2250,Veterinarians,OC225
OC226,Other health professionals,OC22
OC2261,Dentists,OC226
OC2262,Pharmacists,OC226
OC2263,Environmental and occupational health and hygiene professionals,OC226
OC2264,Physiotherapists,OC226
OC2265,Dieticians and nutritionists,OC226
OC2266,Audiologists and speech therapists,OC226
OC2267,Optometrists and ophthalmic opticians,OC226
OC2269,Health professionals not elsewhere classified,OC226
OC23,Teaching professionals,OC2
OC231,University and higher education teachers,OC23
OC2310,University and higher education teachers,OC231
OC232,Vocational education teachers,OC23
OC2320,Vocational education teachers,OC232
OC233,Secondary education teachers,OC23
OC2330,Secondary education teachers,OC233
OC234,Primary school and early childhood teachers,OC23
OC2341,Primary school teachers,OC234
OC2342,Early childhood educators,OC234
OC235,Other teaching professionals,OC23
OC2351,Education methods specialists,OC235
OC2352,Special needs teachers,OC235
OC2353,Other language teachers,OC235
OC2354,Other music teachers,OC235
OC2355,Other arts teachers,OC235
OC2356,Information technology trainers,OC235
OC2359,Teaching professionals not elsewhere classified,OC235
OC24,Business and administration professionals,OC2
OC241,Finance professionals,OC24
OC2411,Accountants,OC241
OC2412,Financial and investment advisers,OC241
OC2413,Financial analysts,OC241
OC242,Administration professionals,OC24
OC2421,Management and organization analysts,OC242
OC2422,Policy administration professionals,OC242
OC2423,Personnel and careers professionals,OC242
OC2424,Training and staff development professionals,OC242
OC243,"Sales, marketing and public relations professionals",OC24
OC2431,Advertising and marketing professionals,OC243
OC2432,Public relations professionals,OC243
OC2433,Technical and medical sales professionals (excluding ICT),OC243
OC2434,Information and communications technology sales professionals,OC243
OC25,Information and communications technology professionals,OC2
OC251,Software and applications developers and analysts,OC25
OC2511,Systems analysts,OC251
OC2512,Software developers,OC251
OC2513,Web and multimedia developers,OC251
OC2514,Applications programmers,OC251
OC2519,Software and applications developers and analysts not elsewhere classified,OC251
OC252,Database and network professionals,OC25
OC2521,Database designers and administrators,OC252
OC2522,Systems administrators,OC252
OC2523,Computer network professionals,OC252
OC2529,Database and network professionals not elsewhere classified,OC252
OC26,"Legal, social and cultural professionals",OC2
OC261,Legal professionals,OC26
OC2611,Lawyers,OC261
OC2612,Judges,OC261
OC2619,Legal professionals not elsewhere classified,OC261
OC262,"Librarians, archivists and curators",OC26
OC2621,Archivists and curators,OC262
OC2622,Librarians and related information professionals,OC262
OC263,Social and religious professionals,OC26
OC2631,Economists,OC263
OC2632,"Sociologists, anthropologists and related professionals",OC263
OC2633,"Philosophers, historians and political scientists",OC263
OC2634,Psychologists,OC263
OC2635,Social work and counselling professionals,OC263
OC2636,Religious professionals,OC263
OC264,"Authors, journalists and linguists",OC26
OC2641,Authors and related writers,OC264
OC2642,Journalists,OC264
OC2643,"Translators, interpreters and other linguists",OC264
OC265,Creative and performing artists,OC26
OC2651,Visual artists,OC265
OC2652,"Musicians, singers and composers",OC265
OC2653,Dancers and choreographers,OC265
OC2654,"Film, stage and related directors and producers",OC265
OC2655,Actors,OC265
OC2656,"Announcers on radio, television and other media",OC265
OC2659,Creative and performing artists not elsewhere classified,OC265
OC3,Technicians and associate professionals,
OC31,Science and engineering associate professionals,OC3
OC311,Physical and engineering science technicians,OC31
OC3111,Chemical and physical science technicians,OC311
OC3112,Civil engineering technicians,OC311
OC3113,Electrical engineering technicians,OC311
OC3114,Electronics engineering technicians,OC311
OC3115,Mechanical engineering technicians,OC311
OC3116,Chemical engineering technicians,OC311
OC3117,Mining and metallurgical technicians,OC311
OC3118,Draughtspersons,OC311
OC3119,Physical and engineering science technicians not elsewhere classified,OC311
OC312,"Mining, manufacturing and construction supervisors",OC31
OC3121,Mining supervisors,OC312
OC3122,Manufacturing supervisors,OC312
OC3123,Construction supervisors,OC312
OC313,Process control technicians,OC31
OC3131,Power production plant operators,OC313
OC3132,Incinerator and water treatment plant operators,OC313
OC3133,Chemical processing plant controllers,OC313
OC3134,Petroleum and natural gas refining plant operators,OC313
OC3135,Metal production process controllers,OC313
OC3139,Process control technicians not elsewhere classified,OC313
OC314,Life science technicians and related associate professionals,OC31
OC3141,Life science technicians (excluding medical),OC314
OC3142,Agricultural technicians,OC314
OC3143,Forestry technicians,OC314
OC315,Ship and aircraft controllers and technicians,OC31
OC3151,Ships' engineers,OC315
OC3152,Ships' deck officers and pilots,OC315
OC3153,Aircraft pilots and related associate professionals,OC315
OC3154,Air traffic controllers,OC315
OC3155,Air traffic safety electronics technicians,OC315
OC32,Health associate professionals,OC3
OC321,Medical and pharmaceutical technicians,OC32
OC3211,Medical imaging and therapeutic equipment technicians,OC321
OC3212,Medical and pathology laboratory technicians,OC321
OC3213,Pharmaceutical technicians and assistants,OC321
OC3214,Medical and dental prosthetic technicians,OC321
OC322,Nursing and midwifery associate professionals,OC32
OC3221,Nursing associate professionals,OC322
OC3222,Midwifery associate professionals,OC322
OC323,Traditional and complementary medicine associate professionals,OC32
OC3230,Traditional and complementary medicine associate professionals,OC323
OC324,Veterinary technicians and assistants,OC32
OC3240,Veterinary technicians and assistants,OC324
OC325,Other health associate professionals,OC32
OC3251,Dental assistants and therapists,OC325
OC3252,Medical records and health information technicians,OC325
OC3253,Community health workers,OC325
OC3254,Dispensing opticians,OC325
OC3255,Physiotherapy technicians and assistants,OC325
OC3256,Medical assistants,OC325
OC3257,Environmental and occupational health inspectors and associates,OC325
OC3258,Ambulance workers,OC325
OC3259,Health associate professionals not elsewhere classified,OC325
OC33,Business and administration associate professionals,OC3
OC331,Financial and mathematical associate professionals,OC33
OC3311,Securities and finance dealers and brokers,OC331
OC3312,Credit and loans officers,OC331
OC3313,Accounting associate professionals,OC331
OC3314,"Statistical, mathematical and related associate professionals",OC331
OC3315,Valuers and loss assessors,OC331
OC332,Sales and purchasing agents and brokers,OC33
OC3321,Insurance representatives,OC332
