Dataflow ID,Parent Dataflow ID,Level,Dataflow Name,Description,Indicator ID,Indicator Name,Indicator Description
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",AOMPC_BBL,Crude petroleum production,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENCR_EX_PS,Crude petroleum exports,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENCR_IM_PS,Crude petroleum imports,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENCR_CS_PS,Crude petroleum consumption,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENCO_PR_PS,Coal production,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENCO_EX_PS,Coal exports,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENCO_IM_PS,Coal imports,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENCO_CS_PS,Coal consumption,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENEL_PR_PS,Electricity production,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENEL_EX_PS,Electricity exports,
EGELC,none,1,Energy and Electricity,"Energy and Electricity discusses trends in energy productivity, total production and sources, and energy imports. The statistical tables cover key issues such as energy demand, supplies and uses of primary energy, and electricity consumption and generation.",ENEL_IM_PS,Electricity imports,
