MAIN DATAFLOW_CODE,SECONDARY DATAFLOW_CODE,CL_KIDB_INDICATORS,CL_ECONOMY_CODES,PERIOD,OBS_VALUE,CL_COMMON_UNITS,CL_FREQ,CL_DECIMALS,CL_UNIT_MULT,CL_OBS_STATUS,REF_YEAR,DATA_SOURCE,FOOTNOTE
EGELC,EGELC_EG,AOMPC_BBL,AUS,2000,32220.15542,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2001,34261.71544,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2002,32524.99016,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2003,30120.13948,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2004,26413.22902,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2005,23487.2364,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2006,20413.53448,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2007,23963.384,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2008,22207.35,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2009,23645.098,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2010,23129.27,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2011,21999.66,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
EGELC,EGELC_EG,AOMPC_BBL,AUS,2012,20650.32,MT,A,0,3,A,annual values,"Department of Climate Change, Energy, the Environment and Water",1) Includes other refinery feedstock.|2) Calculated on a financial-year basis.
