MAIN DATAFLOW_CODE,SECONDARY DATAFLOW_CODE,CL_KIDB_INDICATORS,CL_ECONOMY_CODES,PERIOD,OBS_VALUE,CL_COMMON_UNITS,CL_FREQ,CL_DECIMALS,CL_UNIT_MULT,CL_OBS_STATUS,REF_YEAR,DATA_SOURCE,FOOTNOTE
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2000,57.94581666,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2001,57.94734986,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2002,57.93968385,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2003,58.08380479,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2004,58.15126566,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2005,58.13440044,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2006,58.12366803,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2007,58.12980084,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2008,58.13286724,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2009,58.13286724,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2010,58.13440044,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2011,58.13133404,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2012,58.12980084,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2013,58.12366803,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2014,58.12366803,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2015,58.12366803,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2016,58.12366803,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2017,58.12366803,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2018,58.27698818,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2019,58.27698818,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2020,58.74154823,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2021,58.74154823,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2022,58.74154823,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,AFG,2023,58.43950754,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2000,46.46996839,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2001,46.64559185,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2002,48.85844749,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2003,50.7200562,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2004,52.86266245,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2005,56.37513172,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2006,61.69301019,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2007,61.53494907,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2008,61.42606252,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2009,61.33825079,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2010,60.94134176,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2011,59.6452406,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2012,59.11485774,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2013,59.11485774,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2014,59.03407095,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2015,58.89357218,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2016,58.89708465,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2017,58.87249737,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2018,58.914647,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2019,58.90410959,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
ENV,ENV_LD,AG_LND_AGRI_ZS,ARM,2020,59.43808314,PCT_TTL_LND_AREA,A,1,0,A,Calendar Year,Food and Agriculture Organization,
