MAIN DATAFLOW_CODE,SECONDARY DATAFLOW_CODE,CL_KIDB_INDICATORS,CL_ECONOMY_CODES,PERIOD,OBS_VALUE,CL_COMMON_UNITS,CL_FREQ,CL_DECIMALS,CL_UNIT_MULT,CL_OBS_STATUS,BASE_YEAR,DATA_SOURCE,FOOTNOTE
TC,TC_TR,TR_NRV_RT_PS,AFG,2011,1197574,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2012,1711817,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2013,1780518,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2014,1811903,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2015,1831900,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2016,1849199,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2017,1933931,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2018,1927387,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2019,1978846,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2020,2009407,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2021,2011692,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2022,2020589,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AFG,2023,2326538,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AUS,2000,0,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AUS,2001,12476767,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AUS,2002,12821961,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AUS,2003,13162959,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
TC,TC_TR,TR_NRV_RT_PS,AUS,2004,13533071,NO,A,0,0,A,,Asian Development Bank,Mode specific vehicle registrations refer to the number of newly (first-time) registered vehicle registered to the authorities. We report cumulative number of vehicle registrations.
